Country/Region,Confirmed,Deaths,Recovered,Last_Update
Turkey,1,0,0,1
Turkey,1,0,0,2
Turkey,5,0,0,3
Turkey,5,0,0,4
Turkey,18,0,0,5
Turkey,47,0,0,6
Turkey,98,1,0,7
Turkey,191,2,0,8
Turkey,359,4,0,9
Turkey,670,9,0,10
Turkey,947,21,0,11
Turkey,1236,30,0,12
Turkey,1529,37,0,13
Turkey,1872,44,0,14
Turkey,2433,59,26,15
Turkey,3629,75,26,16
Turkey,5698,92,42,17
Turkey,7402,108,70,18
Turkey,9217,131,105,19
Turkey,10827,168,162,20
Turkey,13531,214,243,21
Turkey,15679,277,333,22
Turkey,18135,356,415,23
Turkey,20921,425,484,24
Turkey,23934,501,786,25
Turkey,27069,574,1042,26
Turkey,30217,649,1326,27
Turkey,34109,725,1582,28
Turkey,38226,812,1846,29
Turkey,42282,908,2142,30
Turkey,47029,1006,2423,31
Turkey,52167,1101,2965,32
Turkey,56956,1198,3446,33
Turkey,61049,1296,3957,34
Turkey,65111,1403,4799,35
Turkey,69392,1518,5674,36
Turkey,74193,1643,7089,37
Turkey,78546,1769,8631,38
Turkey,82329,1890,10453,39
Turkey,86306,2017,11976,40
Turkey,90980,2140,13430,41
Turkey,95591,2259,14918,42
Turkey,98674,2376,16477,43
Turkey,101790,2491,18491,44
Turkey,104912,2600,21737,45
Turkey,107773,2706,25582,46
Turkey,110130,2805,29140,47
Turkey,112261,2900,33791,48
Turkey,114653,2992,38809,49
Turkey,117589,3018,44022,50
Turkey,120204,3174,48886,51
Turkey,122392,3258,53808,52
Turkey,124375,3336,58259,53
Turkey,126045,3397,63151,54
Turkey,127659,3461,68166,55
Turkey,129491,3520,73285,56
Turkey,131744,3584,78202,57
Turkey,133721,3641,82984,58
Turkey,135569,3689,86396,59
Turkey,137115,3739,89480,60
Turkey,138657,3786,92691,61
Turkey,139771,3841,95780,62
Turkey,141475,3894,98889,63
Turkey,143114,3952,101715,64
Turkey,144749,4007,104030,65
Turkey,146457,4055,106133,66
Turkey,148067,4096,108137,67
Turkey,149435,4140,109962,68
Turkey,150593,4171,111577,69
Turkey,151615,4199,112895,70
Turkey,152587,4222,113987,71
Turkey,153548,4249,114990,72
Turkey,154500,4276,116111,73
Turkey,155686,4308,117602,74
Turkey,156827,4340,118694,75
Turkey,157814,4369,120015,76
Turkey,158762,4397,121507,77
Turkey,159797,4431,122793,78
Turkey,160979,4461,124369,79
Turkey,162120,4489,125963,80
Turkey,163103,4515,126984,81
Turkey,163942,4540,127973,82
Turkey,164769,4563,128947,83
Turkey,165555,4585,129921,84
Turkey,166422,4609,130852,85
Turkey,167410,4630,131778,86
Turkey,168340,4648,133400,87
Turkey,169218,4669,135322,88
Turkey,170132,4692,137969,89
Turkey,171121,4711,141380,90
Turkey,172114,4729,144598,91
Turkey,173036,4746,146839,92
Turkey,174023,4763,147860,93
Turkey,175218,4778,149102,94
Turkey,176677,4792,150087,95
Turkey,178239,4807,151417,96
Turkey,179831,4825,152364,97
Turkey,181298,4842,153379,98
Turkey,182727,4861,154640,99
Turkey,184031,4882,156022,100
Turkey,185245,4905,157516,101
Turkey,186493,4927,158828,102
Turkey,187685,4950,160240,103
Turkey,188897,4974,161533,104
Turkey,190165,5001,162848,105
Turkey,191657,5025,164234,106
Turkey,193115,5046,165706,107
Turkey,194511,5065,167198,108
Turkey,195883,5082,169182,109
Turkey,197239,5097,170595,110
Turkey,198613,5115,171809,111
Turkey,199906,5131,173111,112
Turkey,201098,5150,175422,113
Turkey,202284,5167,176965,114
Turkey,203456,5186,178278,115
Turkey,204610,5206,179492,116
Turkey,205758,5225,180680,117
Turkey,206844,5241,182995,118
Turkey,207897,5260,185292,119
Turkey,208938,5282,187511,120
Turkey,209962,5300,190390,121
Turkey,210965,5323,191883,122
Turkey,211981,5344,193217,123
Turkey,212993,5363,194515,124
Turkey,214001,5382,195671,125
Turkey,214993,5402,196720,126
Turkey,215940,5419,197733,127
Turkey,216873,5440,198820,128
Turkey,217799,5458,199834,129
Turkey,218717,5475,201013,130
Turkey,219641,5491,202010,131
Turkey,220572,5508,203002,132
Turkey,221500,5526,204011,133
Turkey,222402,5545,205214,134
Turkey,223315,5563,206365,135
Turkey,224252,5580,207374,136
Turkey,225173,5596,208477,137
Turkey,226100,5613,209487,138
Turkey,227019,5630,210469,139
Turkey,227982,5645,211561,140
Turkey,228924,5659,212557,141
Turkey,229891,5674,213539,142
Turkey,230873,5691,214535,143
Turkey,231869,5710,215516,144
Turkey,232856,5728,216494,145
Turkey,233851,5747,217497,146
Turkey,234934,5765,218491,147
Turkey,236112,5784,219506,148
Turkey,237265,5798,220546,149
Turkey,238450,5813,221574,150
Turkey,239622,5829,222656,151
Turkey,240804,5844,223759,152
Turkey,241997,5858,224970,153
Turkey,243180,5873,226155,154
Turkey,244392,5891,227089,155
Turkey,245635,5912,228057,156
Turkey,246861,5934,228980,157
Turkey,248117,5955,229972,158
Turkey,249309,5974,230969,159
Turkey,250542,5996,231971,160
Turkey,251805,6016,232913,161
Turkey,253108,6039,233915,162
Turkey,254520,6058,234797,163
Turkey,255723,6080,235569,164
Turkey,257032,6102,236370,165
Turkey,258249,6121,237165,166
Turkey,259692,6139,237908,167
Turkey,261194,6163,238795,168
Turkey,262507,6183,239797,169
Turkey,263998,6209,240792,170
Turkey,265515,6245,241809,171
Turkey,267064,6284,242812,172
Turkey,268546,6326,243839,173
Turkey,270133,6370,244926,174
Turkey,271705,6417,245929,175
Turkey,273301,6462,246876,176
Turkey,274943,6511,248087,177
Turkey,276555,6564,249108,178
Turkey,278228,6620,250092,179
Turkey,279806,6673,251105,180
Turkey,281509,6730,252152,181
Turkey,283270,6782,253245,182
Turkey,284943,6837,254188,183
Turkey,286455,6895,255407,184
Turkey,288126,6951,256524,185
Turkey,289635,6999,257731,186
Turkey,291162,7056,258833,187
Turkey,292878,7119,260058,188
Turkey,294620,7186,261260,189
Turkey,296391,7249,262602,190
Turkey,298039,7315,263745,191
Turkey,299810,7377,264805,192
Turkey,301348,7445,266117,193
Turkey,302867,7506,267233,194
Turkey,304610,7574,268435,195
Turkey,306302,7639,269696,196
Turkey,308069,7711,270723,197
Turkey,309790,7785,271964,198
Turkey,311455,7858,273282,199
Turkey,312966,7929,274514,200
Turkey,314433,7997,275630,201
Turkey,315845,8062,277052,202
Turkey,317272,8130,278504,203
Turkey,318663,8195,279749,204
Turkey,320070,8262,281151,205
Turkey,321512,8325,282657,206
Turkey,323014,8384,283868,207
Turkey,324443,8441,285050,208
Turkey,326046,8498,286370,209
Turkey,327557,8553,287599,210
Turkey,329138,8609,288954,211
Turkey,330753,8667,290352,212
Turkey,332382,8722,291754,213
Turkey,334031,8778,293145,214
Turkey,335533,8837,294357,215
Turkey,337147,8895,295658,216
Turkey,338779,8957,296972,217
Turkey,340450,9014,298368,218
Turkey,342143,9080,299679,219
Turkey,343955,9153,301098,220
Turkey,345678,9224,302499,221
Turkey,347493,9296,304003,222
Turkey,349519,9371,305427,223
Turkey,351413,9445,306939,224
Turkey,353426,9513,308446,225
Turkey,355528,9584,310027,226
Turkey,357693,9658,311520,227
Turkey,359784,9727,313093,228
Turkey,361801,9799,314390,229
Turkey,363999,9874,316008,230
Turkey,366208,9950,317519,231
Turkey,368513,10027,319181,232
